0,1,2,3,4,Decade
rock,,,,,1980
rock,80s,classic rock,u2,,1980
alternative,80s,alternative rock,indie,rock,1980
pop,disco,70s,,,1980
soft rock,80s,,,,1980
chanson française,french,alain souchon,france,,1980
christian,pop,,,,1980
pop,easy listening,,,,1980
pop,female vocalists,canadian,90s,celine dion,1980
soul,female vocalists,80s,rnb,,1980
80s,pop,new wave,british,,1980
chanson francaise,french,singer-songwriter,pop,chanson française,1980
80s,pop,romantic,george michael,love,1980
80s,rock en espanol,pop espanol,spanish pop,hombres g,1980
french,chanson francaise,pop,singer-songwriter,rock,1980
french,chanson francaise,pop,singer-songwriter,rock,1980
spanish,nice,,,,1980
80s,pop,rock,australian,classic rock,1980
iskelma,suomi,,,,1980
80s,female vocalists,pop,alternative,kate bush,1980
80s,pop,female vocalists,dance,,1980
folk,singer-songwriter,canadian,leonard cohen,blues,1980
chanson francaise,french,,,,1980
pop,80s,michael jackson,dance,,1980
pop,80s,dance,soul,funk,1980
80s,pop,new age,female vocalists,rock,1980
80s,disco,,,,1980
80s,pop,new wave,synthpop,synth pop,1980
80s,pop,soundtrack,dirty dancing,male vocalists,1980
singer-songwriter,70s,ballad,relaxing,sentimental,1980
80s,pop,michael jackson,duet,,1980
80s,pop,love songs,soft rock,,1980
80s,funk,pop,prince,rock,1980
80s,pop,brutal death metal,rickroll,rickrolled,1980
classic rock,rock,80s,soft rock,pop,1980
80s,pop,rock,pop rock,roxette,1980
80s,rock,pop,classic rock,roxy music,1980
80s,new wave,rock,pop,glam rock,1980
new wave,80s,rock,alternative,pop,1980
progressive rock,symphonic rock,80s,classic rock,rock,1980
new wave,80s,pop,alternative,rock,1980
80s,pop,female vocalists,love,,1980
80s,pop,whitney houston,female vocalists,dance,1980
schlager,party,wolfgang petry,deutsche schlager,,1980
,,,,,1980
folk,singer-songwriter,leonard cohen,canadian,spiritual,1980
irish,folk,punk,folk rock,celtic,1980
rock and roll,80s,oldies,rockabilly,rock n roll,1980
christmas,xmas,christmas songs,chris rea,,1980
christmas,rock,,,,1980
christmas,rock,,,,1980
christmas,,,,,1980
pop,80s,70s,abba,,1980
soundtrack,christmas,,,,1980
jazz,reggae,vocal,a capella,singer-songwriter,1980
80s,alternative,british,indie,morrissey,1980
80s,indie,alternative,new wave,british,1980
pop,80s,michael jackson,soul,,1980
classic rock,john lennon,rock,singer-songwriter,,1980
classic rock,rock,80s,queen,glam rock,1980
country,george strait,classic country,,,1980
pop,80s,soul,michael jackson,,1980
christmas,holiday,country christmas,,,1980
christmas,american artist,english lyrics,country christmas,,1980
80s,rock,hard rock,classic rock,europe,1980
country,childhood,linedance catalan,,,1980
pop,80s,elton john,classic rock,british,1980
80s,pop,new wave,ballad,,1980
pop,80s,michael jackson,dance,disco,1980
alternative,rock,alternative rock,indie,80s,1980
rock,classic rock,singer-songwriter,80s,bruce springsteen,1980
80s,classic rock,rock,foreigner,love,1980
classic rock,80s,rock,supergroup,travelling wilburys,1980
new wave,80s,alternative,post-punk,rock,1980
indie,post-punk,80s,new wave,alternative,1980
irish,folk,punk,folk rock,celtic,1980
pop,soul,female vocalists,rnb,80s,1980
80s,pop,new wave,synthpop,,1980
classic rock,rock,singer-songwriter,folk,folk rock,1980
pop,80s,michael jackson,dance,rock,1980
classic rock,,,,,1980
thrash metal,metal,heavy metal,metallica,rock,1980
punk,punk rock,80s,rock,british,1980
country,,,,,1980
80s,alternative,new wave,donnie darko,,1980
classic rock,rock,80s,dire straits,guitar,1980
children's music,shay,wheels on the bus,,,1980
rock,80s,female vocalists,pop,canadian,1980
dan fogelberg,folk rock,70s,80s,classic rock,1980
christmas,80s,female vocalists,rock,,1980
80s,classic rock,rock,pop,,1980
post-punk,new wave,80s,alternative,joy division,1980
country,garth brooks,if tomorrow never comes,love,,1980
singer-songwriter,folk,leonard cohen,canadian,love,1980
rock,classic rock,70s rock,70s,singer-songwriter,1980
country,garth brooks,90s,,,1980
80s,rock,new wave,classic rock,,1980
80s,german,pop,new wave,deutsch,1980
rock,female vocalists,classic rock,70s,,1980
rock,classic rock,80s,u2,irish,1980
80s,pop,classic rock,rock,singer-songwriter,1980
,,,,,1980
rock,u2,80s,irish,love,1980
80s,new wave,pop,synthpop,,1980
country,folk,,,,1980
christmas,classic rock,rock,,,1980
rock,80s,hard rock,classic rock,bon jovi,1980
classic rock,80s,fleetwood mac,rock,pop,1980
80s,pop,george michael,dance,,1980
classic rock,80s,rock,soft rock,,1980
classic rock,rock,british,the beatles,pop,1980
heavy metal,hard rock,metal,classic rock,rock,1980
rock,classic rock,80s,dire straits,guitar,1980
classic rock,rock,80s,soft rock,hard rock,1980
80s,pop,rock,roxette,female vocalists,1980
pop,christmas,abba,new year,70s,1980
80s,pop,female vocalists,cyndi lauper,,1980
80s,pop,rock,tina turner,female vocalists,1980
reggae,roots reggae,bob marley,,,1980
rock,80s,classic rock,u2,irish,1980
rock,classic rock,80s,queen,british,1980
classic rock,rock,80s,singer-songwriter,,1980
love,classic,pop,epic,classy rockjam n play?,1980
80s,rock,pop,inxs,australian,1980
80s,pop,ballad,rock,love,1980
country,classic country,,,,1980
classic rock,hard rock,80s,rock,whitesnake,1980
pop,80s,dance,madonna,female vocalists,1980
80s,pop,rock,female vocalists,,1980
,,,,,1980
finnish,pop,melancholy,melancholic,suomi,1980
classic rock,british,john lennon,rock,,1980
80s,classic rock,rock,don henley,pop,1980
80s,pop,female vocalists,rock,,1980
synthpop,swedish,synth pop,pop,electronic,1980
80s,ballad,rock,classic rock,,1980
names,jessie,get psyched song,,,1980
progressive rock,80s,classic rock,rock,,1980
country,old country,waylon jennings,willie nelson,,1980
latin,flamenco,world,spanish,guitar,1980
rock,classic rock,80s,singer-songwriter,,1980
mod,punk,new wave,british,rock,1980
80s,pop,new wave,,,1980
80s,pop,new wave,british,,1980
jazz,smooth jazz,soul,funk,guitar,1980
classic rock,rock,80s,hard rock,queen,1980
